activation,cost,optimizer,lr,batch,train_acc,val_acc,best_val_acc,best_epoch,final_train_loss,seconds
relu,MSE,Adam,0.001,512,0.9647946357727051,0.75390625,0.7734375,78,0.055398855,0.5533454999967944
relu,MSE,Adam,0.01,32,0.8834869861602783,0.69140625,0.7167969,93,0.22072183,7.3518240000121295
relu,MSE,Adam,0.01,128,0.9480301737785339,0.689453125,0.7402344,75,0.08994608,1.7872262000164483
relu,MSE,Adam,0.01,512,0.9874266386032104,0.751953125,0.7675781,60,0.017205881,0.5294397000106983
relu,MSE,Adam,0.1,32,0.015926236286759377,0.015625,0.015625,1,1.9681475,6.845574200007832
relu,MSE,Adam,0.1,128,0.015926236286759377,0.017578125,0.017578125,1,1.9681475,1.8017771000158973
relu,MSE,Adam,0.1,512,0.015926236286759377,0.017578125,0.017578125,2,1.9681475,0.5333653999841772
tanh,MSE,GD,0.001,2386,0.015926236286759377,0.017578125,0.017578125,1,0.9841511,0.14781749999383464
tanh,MSE,GD,0.01,2386,0.01760268211364746,0.01953125,0.01953125,92,0.98389685,0.15477500000270084
tanh,MSE,GD,0.1,2386,0.05574182793498039,0.05078125,0.05078125,99,0.98117787,0.1531505000020843
tanh,MSE,SGD,0.001,32,0.04107292741537094,0.0390625,0.0390625,100,0.98197055,5.931091500009643
tanh,MSE,SGD,0.001,128,0.019279127940535545,0.021484375,0.021484375,98,0.9836399,1.6913061999948695
tanh,MSE,SGD,0.001,512,0.016345348209142685,0.017578125,0.017578125,1,0.98403835,0.4536843000096269
tanh,MSE,SGD,0.01,32,0.2753562331199646,0.259765625,0.25976562,100,0.9051521,6.11035339999944
tanh,MSE,SGD,0.01,128,0.08466052263975143,0.08203125,0.08203125,97,0.97795635,1.5911695999966469
tanh,MSE,SGD,0.01,512,0.025565801188349724,0.0234375,0.025390625,81,0.982732,0.4723272999981418
tanh,MSE,SGD,0.1,32,0.9513830542564392,0.75390625,0.76171875,98,0.07784088,6.524608800013084
tanh,MSE,SGD,0.1,128,0.7401508688926697,0.654296875,0.6542969,100,0.39835075,1.696008900005836
tanh,MSE,SGD,0.1,512,0.18231350183486938,0.17578125,0.17578125,99,0.9531785,0.5110891000076663
tanh,MSE,SGD+momentum,0.001,32,0.2753562331199646,0.2578125,0.2578125,100,0.9058041,6.439874699979555
tanh,MSE,SGD+momentum,0.001,128,0.08382229506969452,0.08203125,0.08203125,97,0.9779995,1.7207210999913514
tanh,MSE,SGD+momentum,0.001,512,0.025565801188349724,0.0234375,0.025390625,83,0.9827598,0.510079500003485
tanh,MSE,SGD+momentum,0.01,32,0.9526404142379761,0.75,0.76171875,97,0.077264845,6.629181299998891
tanh,MSE,SGD+momentum,0.01,128,0.7334451079368591,0.650390625,0.6503906,100,0.40580297,1.5976196999836247
tanh,MSE,SGD+momentum,0.01,512,0.17141659557819366,0.162109375,0.16210938,100,0.9556853,0.4955869999830611
tanh,MSE,SGD+momentum,0.1,32,0.9685666561126709,0.724609375,0.7578125,47,0.04619783,6.228038300003391
tanh,MSE,SGD+momentum,0.1,128,0.9744341969490051,0.73828125,0.7753906,27,0.035056867,1.5922443000017665
tanh,MSE,SGD+momentum,0.1,512,0.9262363910675049,0.74609375,0.7558594,96,0.1294083,0.4658548999868799
tanh,MSE,Adam,0.001,32,0.9807208776473999,0.716796875,0.7675781,29,0.029789733,7.050493099988671
tanh,MSE,Adam,0.001,128,0.9857501983642578,0.7578125,0.77734375,33,0.019358678,1.916756999999052
tanh,MSE,Adam,0.001,512,0.9773679971694946,0.748046875,0.7714844,41,0.034375153,0.5502007000031881
tanh,MSE,Adam,0.01,32,0.016345348209142685,0.015625,0.13671875,26,1.9673094,7.127005299989833
tanh,MSE,Adam,0.01,128,0.7707459926605225,0.572265625,0.5996094,70,0.28981093,1.858801599999424
tanh,MSE,Adam,0.01,512,0.9891030788421631,0.759765625,0.76953125,26,0.014427138,0.582816099980846
tanh,MSE,Adam,0.1,32,0.015926236286759377,0.017578125,0.017578125,1,1.9681475,7.165396600001259
tanh,MSE,Adam,0.1,128,0.016345348209142685,0.015625,0.015625,1,1.9673094,1.9266228000051342
tanh,MSE,Adam,0.1,512,0.016345348209142685,0.015625,0.0234375,1,1.9673094,0.5654079000232741
sigmoid,MSE,GD,0.001,2386,0.02053646370768547,0.017578125,0.017578125,1,0.98500365,0.15876890000072308
